id	type
GTEX-S33H-0626-SM-2XCBJ	1
GTEX-WZTO-0426-SM-3NM99	1
GTEX-U3ZH-0526-SM-3DB75	1
GTEX-11NUK-0826-SM-5HL4U	1
GTEX-145MH-0626-SM-5NQAK	1
GTEX-13OVL-0626-SM-5KM13	1
GTEX-ZYW4-1526-SM-5SIBA	1
GTEX-12ZZY-0926-SM-5EQ6I	1
GTEX-YECK-0926-SM-4W214	1
GTEX-PVOW-1026-SM-5O9B9	1
GTEX-13FTZ-0526-SM-5IJCW	1
GTEX-ZF28-0726-SM-4WKFU	1
GTEX-12WSE-0826-SM-5S2VL	1
GTEX-11PRG-0926-SM-5EGI8	1
GTEX-111VG-0726-SM-5GIDC	1
GTEX-117YW-0526-SM-5H11C	1
GTEX-13G51-0426-SM-5K7Z5	1
GTEX-13S86-0626-SM-5Q5E7	1
GTEX-QMRM-0826-SM-3NB33	1
GTEX-11DZ1-0426-SM-5H11A	1
GTEX-11EI6-0826-SM-5985V	1
GTEX-11O72-1326-SM-5BC5A	1
GTEX-12WSL-1026-SM-5CVNJ	1
GTEX-ZYT6-0526-SM-5GIEA	1
GTEX-X585-1026-SM-46MW6	1
GTEX-T5JC-0826-SM-32PMC	1
GTEX-POYW-1226-SM-5LU5O	1
GTEX-11ZUS-0126-SM-5EQM5	1
GTEX-1497J-0326-SM-5Q5CN	1
GTEX-T6MN-0826-SM-32PM4	1
GTEX-WHPG-1426-SM-3NMBB	1
GTEX-PW2O-0526-SM-2I3DX	1
GTEX-ZDXO-1326-SM-57WBS	1
GTEX-13O21-3026-SM-5J2NI	1
GTEX-XQ3S-0926-SM-4BOPI	1
GTEX-PVOW-1026-SM-5NQ7M	1
GTEX-13NYB-0626-SM-5MR47	1
GTEX-12WSI-0826-SM-5EGKD	1
GTEX-13N2G-0826-SM-5IJE6	1
GTEX-139T6-0426-SM-5IJEM	1
GTEX-13NZ9-0926-SM-5KM12	1
GTEX-13O3P-1026-SM-5N9E7	1
GTEX-139TT-0726-SM-5K7XW	1
GTEX-ZPU1-0926-SM-57WDO	1
GTEX-13FHP-0726-SM-5K7YI	1
GTEX-RN64-1226-SM-2TC6E	1
GTEX-U3ZM-0426-SM-3DB73	1
GTEX-OIZI-1026-SM-3NB1K	1
GTEX-13O3Q-0526-SM-5KM18	1
GTEX-WYJK-0826-SM-3NM8Y	1
GTEX-QEG4-0526-SM-48TZD	1
GTEX-SIU7-0526-SM-3NM8I	1
GTEX-11WQC-0626-SM-5EQMF	1
GTEX-X4LF-0526-SM-3NMB6	1
GTEX-ZAB4-0626-SM-5CVN3	1
GTEX-RM2N-0426-SM-2TF4T	1
GTEX-13FHO-1026-SM-5KM1Q	1
GTEX-V1D1-0826-SM-3P5ZA	1
GTEX-POYW-1226-SM-5LZWQ	1
GTEX-OIZH-0526-SM-2HMKV	1
GTEX-1477Z-0626-SM-5NQB7	1
GTEX-13OVG-0326-SM-5KM57	1
GTEX-145LU-0526-SM-5O9AT	1
GTEX-WFON-0426-SM-3GIL4	1
GTEX-XBEC-1026-SM-4QASM	1
GTEX-WY7C-0426-SM-3NB3C	1
GTEX-13VXU-2726-SM-5LU4N	1
GTEX-SIU8-0926-SM-5SI87	1
GTEX-WVJS-0826-SM-4MVNR	1
GTEX-YF7O-0626-SM-4W21R	1
GTEX-Y5V6-0226-SM-4V6G7	1
GTEX-13FLV-0426-SM-5KLZA	1
GTEX-ZDTS-1026-SM-4WAXS	1
GTEX-1212Z-1026-SM-5EGJ8	1
GTEX-12584-1426-SM-5EGJ9	1
GTEX-XPVG-1026-SM-4B64Y	1
GTEX-147F4-0926-SM-5Q5EO	1
GTEX-OHPM-0526-SM-2YUMJ	1
GTEX-UPJH-0826-SM-4WKFD	1
GTEX-13O61-0726-SM-5J2MD	1
GTEX-111FC-1126-SM-5GZWU	1
GTEX-ZEX8-0526-SM-4WKH5	1
GTEX-11DXZ-0726-SM-5N9C4	1
GTEX-13PVQ-0926-SM-5IJFD	1
GTEX-ZZPT-1326-SM-5E43H	1
GTEX-NFK9-1026-SM-2HMK1	1
GTEX-QEG5-1126-SM-33HC2	1
GTEX-14A6H-0526-SM-5NQAZ	1
GTEX-13QJ3-1026-SM-5QGQU	1
GTEX-Y9LG-0526-SM-4VBRY	1
GTEX-132QS-0726-SM-5IJE9	1
GTEX-ZT9W-0726-SM-4YCDC	1
GTEX-13N1W-0726-SM-5MR57	1
GTEX-117YX-1326-SM-5H125	1
GTEX-P4PQ-0526-SM-2HMKR	1
GTEX-O5YT-0526-SM-32PK8	1
GTEX-12BJ1-1026-SM-5EGJA	1
GTEX-145MO-1326-SM-5Q5EF	1
GTEX-PLZ6-0426-SM-5IFK2	1
GTEX-13NYS-1626-SM-5J2MU	1
GTEX-QDVN-0726-SM-4B64L	1
GTEX-X4XX-1026-SM-4QARO	1
GTEX-ZUA1-1026-SM-4YCEA	1
GTEX-111CU-0326-SM-5GZXO	1
GTEX-ZAB5-0626-SM-5PNVB	1
GTEX-PLZ6-0426-SM-5IJDW	1
GTEX-13OW6-0826-SM-5L3GA	1
GTEX-WOFM-0126-SM-3MJFE	1
GTEX-131XE-0726-SM-5HL9K	1
GTEX-OOBK-0526-SM-2HMJJ	1
GTEX-11EQ9-0226-SM-5A5JX	1
GTEX-ZDTT-0926-SM-5J2MS	1
GTEX-WHSB-0326-SM-5FQSD	1
GTEX-111YS-0626-SM-5GZXV	1
GTEX-11LCK-0426-SM-5A5M8	1
GTEX-14E7W-1326-SM-5RQIV	1
GTEX-QXCU-0626-SM-2TC69	1
